,PC_0,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11
count,8950.0,8950.0,8950.0,8950.0,8950.0,8950.0,8950.0,8950.0,8950.0,8950.0,8950.0,8950.0
mean,1.2702439968895646e-17,-3.810731990668694e-17,-3.9695124902798894e-19,1.2702439968895646e-17,-6.033658985225432e-17,-1.2702439968895646e-17,-3.4931709914463025e-17,2.8580489930015205e-17,3.8901222404742916e-17,7.939024980559778e-18,9.526829976671734e-18,1.7465854957231512e-17
std,2.1543265050002747,1.8584209495995145,1.2240948938897631,1.127679578236301,1.0287478899070777,0.9878859436400012,0.9111943327964632,0.854953929873236,0.8036019736288837,0.7236427951233716,0.6350808937292928,0.5490960991129811
min,-2.781002617862065,-2.679953443551594,-9.88734131145322,-11.124712632806775,-2.7819678220957846,-6.3261961394712785,-6.585872308330254,-6.088741961614272,-6.871153953862362,-8.659766236384375,-6.774530005927726,-6.789558590641012
25%,-1.4840823794661233,-1.2641149974475328,-0.7712364015637541,-0.6249587726745347,-0.5309384295513805,-0.4840594455459634,-0.5042518840195362,-0.46601324633331337,-0.4598705821505814,-0.33266642266298446,-0.28372718430750365,-0.2292002287117152
50%,-0.4554401897821055,-0.48604096334440006,0.05068770870519648,0.13440361178766214,-0.07829438395298016,-0.0874659424166879,0.15543597407243903,-0.02886412453317892,0.1089239380928162,0.01420636905952577,0.004802089123872826,-0.018010350893824113
75%,0.7621884476732488,0.738790145814945,0.5596035069469891,0.7046398047831877,0.5278941621903821,0.16906249761795572,0.6100126243880979,0.3327620553747451,0.552020228285365,0.3274378947864827,0.32671075192050775,0.2485130338095459
max,29.60305187085822,25.37034363603435,16.925111443824306,13.904759934713043,17.138715450243595,10.492263836050215,8.77843912023053,15.395673021054533,7.446459408720046,10.788489869079184,10.87998703214691,8.844905257378743
