dataset,algorithm,n_samples,n_features,n_clusters,n_noise,silhouette,calinski_harabasz,davies_bouldin,adjusted_rand,normalized_mutual_info,homogeneity,completeness,fowlkes_mallows,mutual_info,runtime,memory,cpu_time,param__n_clusters,param__init,param__n_init,metric__silhouette_score,metric__calinski_harabasz_score,metric__davies_bouldin_score,param__n_components,param__covariance_type,param__eps,param__min_samples,param__linkage,param__subset_size,param__affinity,param__gamma
credit_data,DBSCAN,8950,12,3,2587,0.13975432360822934,19.965753599939905,0.9584350753774987,,,,,,,4.099388837814331,0.171875,,,,,0.13975432360822934,19.965753599939905,0.9584350753774987,,,1.0812396195308274,10.0,,,,
credit_data,GMM,8950,12,3,0,0.08052711910953347,914.6510738430227,2.3443183784620274,,,,,,,6.196900599999992,1.8046875,13.734375,,,,0.08052711910953347,914.6510738430227,2.3443183784620274,3.0,full,,,,,,
credit_data,Hierarchical,8950,12,3,0,0.19723258330405088,1227.2968125003872,1.492781904473621,,,,,,,0.48128470000000334,0.20703125,0.390625,3.0,,,0.19528544586216615,322.65955144333844,1.4968013687310646,,,,,ward,1500.0,,
credit_data,K-means,8950,12,3,0,0.25353928325935776,1692.3340221322724,1.5453703249726012,,,,,,,10.349486200000001,2.1328125,9.609375,3.0,k-means++,10.0,0.25353928325935776,1692.3340221322724,1.5453703249726012,,,,,,,,
credit_data,Spectral,8950,12,3,0,0.8553444741270683,83.06949345110664,0.09638585126482897,,,,,,,685.2099792,11.55078125,653.875,3.0,,,0.8308768728328607,61.19971402651634,0.110528228199904,,,,,,1200.0,rbf,1.0
