dataset,algorithm,n_samples,n_features,n_clusters,n_noise,silhouette,calinski_harabasz,davies_bouldin,adjusted_rand,normalized_mutual_info,homogeneity,completeness,fowlkes_mallows,mutual_info,runtime,memory,cpu_time,param__n_clusters,param__init,param__n_init,metric__silhouette_score,metric__calinski_harabasz_score,metric__davies_bouldin_score,param__n_components,param__covariance_type,param__eps,param__min_samples,param__linkage,param__subset_size,param__affinity,param__gamma
stock_data,DBSCAN,490,13,15,397,0.7384212102250106,1826.5996378224206,0.3345795847154836,,,,,,,0.02050304412841797,0.3671875,,,,,0.7384212102250106,1826.5996378224206,0.3345795847154836,,,1.5798031725778248,5.0,,,,
stock_data,GMM,490,13,12,0,0.49581148178574774,503.65335749354585,0.7014193595956262,,,,,,,0.16179199999999838,0.19921875,,,,,0.49581148178574774,503.65335749354585,0.7014193595956262,12.0,diag,,,,,,
stock_data,Hierarchical,490,13,12,0,0.3700344583707095,150.5942542877465,0.9852200880885467,,,,,,,0.0853443000000027,1.33984375,,12.0,,,0.45946351926617857,413.4137231027312,0.7191834910802375,,,,,ward,300.0,,
stock_data,K-means,490,13,12,0,0.5000812697646728,511.6254707776083,0.6961402477209125,,,,,,,0.4301308000000006,0.1640625,,12.0,k-means++,10.0,0.5000812697646728,511.6254707776083,0.6961402477209125,,,,,,,,
stock_data,Spectral,490,13,12,0,0.2625741864951271,98.39935439910047,0.9962072273924027,,,,,,,12.8072953,3.9765625,,12.0,,,0.33905046831704416,107.59295257279184,0.685657864622113,,,,,,300.0,rbf,1.0
