dataset,algorithm,n_samples,n_features,n_clusters,n_noise,silhouette,calinski_harabasz,davies_bouldin,adjusted_rand,normalized_mutual_info,homogeneity,completeness,fowlkes_mallows,mutual_info,runtime,memory,cpu_time,param__n_clusters,param__init,param__n_init,metric__silhouette_score,metric__calinski_harabasz_score,metric__davies_bouldin_score,param__linkage,param__eps,param__min_samples,param__affinity,param__gamma,param__n_components,param__covariance_type
2d_points,DBSCAN,1000,2,8,93,0.5790496354344528,7563.876964381569,0.5304898450184273,,,,,,,0.13801229999999975,0.3515625,,,,,0.5790496354344528,7563.876964381569,0.5304898450184273,,0.07801980218622767,5.0,,,,
2d_points,GMM,1000,2,3,0,0.6394476596095053,3768.9280986793897,0.42257929831176416,,,,,,,0.1782578000000008,0.109375,,,,,0.6394476596095053,3768.9280986793897,0.42257929831176416,,,,,,3.0,full
2d_points,Hierarchical,1000,2,3,0,0.6412149200710826,3805.8928737477218,0.4231831093335048,,,,,,,0.20752330000000008,0.375,,3.0,,,0.6412149200710826,3805.8928737477218,0.4231831093335048,ward,,,,,,
2d_points,K-means,1000,2,3,0,0.6390737382372272,3813.43864224737,0.4293083112519134,,,,,,,1.3160692999999988,1.73828125,,3.0,k-means++,10.0,0.6390737382372272,3813.43864224737,0.4293083112519134,,,,,,,
2d_points,Spectral,1000,2,3,0,0.6412149200710826,3805.8928737477218,0.4231831093335048,,,,,,,1.1169274000000016,12.078125,,3.0,,,0.6412149200710826,3805.8928737477218,0.4231831093335048,,,,rbf,1.0,,
