dataset_name,algorithm_cn,n_samples,n_features,silhouette,calinski_harabasz,davies_bouldin,runtime,memory,n_noise,runtime_norm,memory_norm,efficiency_score,silhouette_norm,calinski_harabasz_norm,davies_bouldin_norm,quality_score,overall_score
2D Points,DBSCAN,1000,2,0.5790496354344528,7563.876964381569,0.5304898450184273,0.1380122999999997,0.3515625,93,0.00017766437385505047,0.025008119519324457,0.9874071080534103,0.6434064919901508,1.0,0.8068874450182655,0.816764645669472,0.9020858768614411
2D Points,GMM,1000,2,0.6394476596095053,3768.9280986793897,0.4225792983117641,0.1782578000000008,0.109375,0,0.0002364003194966807,0.004871711594673595,0.9974459440429149,0.7213577972673612,0.4969520770235864,0.854891798085397,0.6910672241254482,0.8442565840841816
2D Points,Hierarchical,1000,2,0.6412149200710826,3805.8928737477218,0.4231831093335048,0.2075233,0.375,0,0.0002791115994453715,0.026956804157193894,0.9863820421216803,0.7236386708824563,0.5018520253442271,0.8546231908142998,0.6933712956803277,0.839876668901004
2D Points,K-means,1000,2,0.6390737382372272,3813.43864224737,0.4293083112519134,1.3160692999999988,1.73828125,0,0.0018969694368991187,0.14030529392659954,0.9288988683182506,0.7208752043441946,0.5028522715413011,0.8518983750805974,0.6918752836553644,0.8103870759868075
2D Points,Spectral,1000,2,0.6412149200710826,3805.8928737477218,0.4231831093335048,1.1169274000000016,12.078125,0,0.0016063335195078457,1.0,0.4991968332402461,0.7236386708824563,0.5018520253442271,0.8546231908142998,0.6933712956803277,0.5962840644602869
Stock Data,DBSCAN,490,13,0.7384212102250106,1826.5996378224208,0.3345795847154836,0.0205030441284179,0.3671875,397,6.166510360710483e-06,0.026307242611237416,0.9868432954392009,0.8490957086274719,0.23948238967082094,0.8940387531348002,0.660872283811031,0.823857789625116
Stock Data,GMM,490,13,0.4958114817857477,503.65335749354585,0.7014193595956262,0.1617919999999983,0.19921875,0,0.00021236945061081582,0.012341669373173108,0.993722980588108,0.5359771047807983,0.06411629065866097,0.730848901819498,0.44364743241965243,0.7186852065038802
Stock Data,Hierarchical,490,13,0.3700344583707095,150.5942542877465,0.9852200880885468,0.0853443000000027,1.33984375,0,0.0001007985184164767,0.1071776550828191,0.9463607731993822,0.37364591459702684,0.017315752669664848,0.6045992368232033,0.33185363469663165,0.6391072039480069
Stock Data,K-means,490,13,0.5000812697646728,511.6254707776083,0.6961402477209125,0.4301308000000006,0.1640625,0,0.000603994183073824,0.009418642416368951,0.9949886817002787,0.5414878073370523,0.06517305194088137,0.7331973316815348,0.4466193969864895,0.7208040393433841
Stock Data,Spectral,490,13,0.2625741864951271,98.39935439910047,0.9962072273924027,12.8072953,3.9765625,0,0.01866773947806322,0.3264046768431309,0.827463791839403,0.23495481381089323,0.010396941136722898,0.5997115726380352,0.2816877758618838,0.5545757838506434
Customer Data,DBSCAN,200,3,0.5771355173624679,189.3716919403319,0.5952215579956415,0.01627779006958,0.05078125,122,0.0,0.0,1.0,0.6409360800155228,0.022455982527774174,0.7780913347284589,0.4804944657572519,0.7402472328786259
Customer Data,GMM,200,3,0.3766841078351589,107.59086102117575,0.8712865848500657,0.4167845999999997,0.515625,0,0.0005845161873296449,0.03864891198441052,0.9803832859141299,0.38222813003320394,0.011615341826399487,0.6552829214356313,0.3497087977650783,0.6650460418396041
Customer Data,Hierarchical,200,3,0.4201169558789579,127.98645433956888,0.8521020845733146,0.1355706000000012,0.42578125,0,0.00017410085598415617,0.03117895420591101,0.9843234724690524,0.43828372528095894,0.014318925252625936,0.6638172079609795,0.37213995283152146,0.6782317126502869
Customer Data,K-means,200,3,0.4284167762892592,135.10210365783408,0.8253539040983219,0.2401315000000004,0.34375,0,0.00032670135389422614,0.024358557973367976,0.9876573703363689,0.44899569547180923,0.015262156040933152,0.6757162218999536,0.379991357804232,0.6838243640703005
Customer Data,Spectral,200,3,0.4191768676715067,125.38144362831471,0.8171254304510112,0.7082704000000035,1.8515625,0,0.001009922608025297,0.1497239363429685,0.9246330705245032,0.43707042229882587,0.013973612239459619,0.6793766848132111,0.37680690645049886,0.650719988487501
Credit Data,DBSCAN,8950,12,0.1397543236082293,19.965753599939905,0.9584350753774988,4.099388837814331,0.171875,2587,0.005959060976980508,0.01006820396232543,0.9919863675303471,0.07644021409065561,0.0,0.6165146357006083,0.2309849499304213,0.6114856587303842
Credit Data,GMM,8950,12,0.0805271191095334,914.6510738430228,2.3443183784620274,6.196900599999992,1.8046875,0,0.00902025631177356,0.14582656706722963,0.9225765883104984,0.0,0.11859701091980163,0.0,0.03953233697326721,0.4810544626418828
Credit Data,Hierarchical,8950,12,0.1972325833040508,1227.2968125003872,1.492781904473621,0.4812847000000033,0.20703125,0,0.0006786502984098855,0.012991230919129588,0.9931650593912302,0.15062319324516968,0.16004046510713835,0.37880873366343076,0.22982413067191296,0.6114945950315716
Credit Data,K-means,8950,12,0.2535392832593577,1692.3340221322724,1.5453703249726012,10.3494862,2.1328125,0,0.01508071132099969,0.17310815199740176,0.9059055683407993,0.22329412606653454,0.22168451109846204,0.35541460600936403,0.26679774772478687,0.5863516580327931
Credit Data,Spectral,8950,12,0.8553444741270683,83.06949345110664,0.0963858512648289,685.2099792,11.55078125,0,1.0,0.9561545956479376,0.021922702176031206,1.0,0.0083648571792547,1.0,0.669454952393085,0.3456888272845581
