dataset,algorithm,n_samples,n_features,n_clusters,n_noise,silhouette,calinski_harabasz,davies_bouldin,adjusted_rand,normalized_mutual_info,homogeneity,completeness,fowlkes_mallows,mutual_info,runtime,memory,cpu_time,param__n_clusters,param__init,param__n_init,metric__silhouette_score,metric__calinski_harabasz_score,metric__davies_bouldin_score,param__n_components,param__covariance_type,param__eps,param__min_samples,param__linkage,param__affinity,param__gamma
customer_data,DBSCAN,200,3,9,122,0.5771355173624679,189.3716919403319,0.5952215579956415,,,,,,,0.016277790069580078,0.05078125,,,,,0.5771355173624679,189.3716919403319,0.5952215579956415,,,0.3164019507887149,5.0,,,
customer_data,GMM,200,3,6,0,0.3766841078351589,107.59086102117575,0.8712865848500657,,,,,,,0.4167845999999997,0.515625,3.625,,,,0.3766841078351589,107.59086102117575,0.8712865848500657,6.0,full,,,,,
customer_data,Hierarchical,200,3,6,0,0.4201169558789579,127.98645433956887,0.8521020845733146,,,,,,,0.1355706000000012,0.42578125,0.109375,6.0,,,0.4201169558789579,127.98645433956887,0.8521020845733146,,,,,ward,,
customer_data,K-means,200,3,6,0,0.4284167762892592,135.10210365783408,0.8253539040983219,,,,,,,0.2401315000000004,0.34375,1.390625,6.0,k-means++,10.0,0.4284167762892592,135.10210365783408,0.8253539040983219,,,,,,,
customer_data,Spectral,200,3,6,0,0.4191768676715067,125.38144362831471,0.8171254304510112,,,,,,,0.7082704000000035,1.8515625,1.90625,6.0,,,0.4191768676715067,125.38144362831471,0.8171254304510112,,,,,,rbf,1.0
